fetched_at,zpid,label,address,zestimate,rent_zestimate,price,bedrooms,bathrooms,living_area,year_built,home_type,last_sold_price,last_sold_date,latitude,longitude
2025-07-01T00:00:00,54770934,558 Marble Arch,,1100000,,,,,,,,,,,
2025-07-01T00:00:00,58606207,1554 Hayden Mill,,401200,,,,,,,,,,,
2025-07-01T00:00:00,97999338,4465 Ambassador Way,,420000,,,,,,,,,,,
2025-08-01T00:00:00,14827461,3290 Northcliff,,441100,,,,,,,,,,,
2025-08-01T00:00:00,54770934,558 Marble Arch,,1100000,,,,,,,,,,,
2025-08-01T00:00:00,58606207,1554 Hayden Mill,,397600,,,,,,,,,,,
2025-08-01T00:00:00,97999338,4465 Ambassador Way,,419100,,,,,,,,,,,
2025-09-01T00:00:00,14827461,3290 Northcliff,,444800,,,,,,,,,,,
2025-09-01T00:00:00,54770934,558 Marble Arch,,1100000,,,,,,,,,,,
2025-09-01T00:00:00,58606207,1554 Hayden Mill,,394200,,,,,,,,,,,
2025-09-01T00:00:00,97999338,4465 Ambassador Way,,415000,,,,,,,,,,,
2025-10-01T00:00:00,14827461,3290 Northcliff,,450000,,,,,,,,,,,
2025-10-01T00:00:00,54770934,558 Marble Arch,,1100000,,,,,,,,,,,
2025-10-01T00:00:00,58606207,1554 Hayden Mill,,392500,,,,,,,,,,,
2025-10-01T00:00:00,97999338,4465 Ambassador Way,,420600,,,,,,,,,,,
2025-11-01T00:00:00,14827461,3290 Northcliff,,448500,,,,,,,,,,,
2025-11-01T00:00:00,54770934,558 Marble Arch,,1000000,,,,,,,,,,,
2025-11-01T00:00:00,58606207,1554 Hayden Mill,,388000,,,,,,,,,,,
2025-11-01T00:00:00,97999338,4465 Ambassador Way,,410700,,,,,,,,,,,
2025-12-01T00:00:00,14827461,3290 Northcliff,,448800,,,,,,,,,,,
2025-12-01T00:00:00,54770934,558 Marble Arch,,1100000,,,,,,,,,,,
2025-12-01T00:00:00,58606207,1554 Hayden Mill,,386900,,,,,,,,,,,
2025-12-01T00:00:00,97999338,4465 Ambassador Way,,418500,,,,,,,,,,,
2026-01-01T00:00:00,14827461,3290 Northcliff,,454000,,,,,,,,,,,
2026-01-01T00:00:00,54770934,558 Marble Arch,,1000000,,,,,,,,,,,
2026-01-01T00:00:00,58606207,1554 Hayden Mill,,381200,,,,,,,,,,,
2026-01-01T00:00:00,97999338,4465 Ambassador Way,,412300,,,,,,,,,,,
2026-02-01T00:00:00,14827461,3290 Northcliff,,456900,,,,,,,,,,,
2026-02-01T00:00:00,54770934,558 Marble Arch,,1100000,,,,,,,,,,,
2026-02-01T00:00:00,58606207,1554 Hayden Mill,,392400,,,,,,,,,,,
2026-02-01T00:00:00,97999338,4465 Ambassador Way,,417300,,,,,,,,,,,
2026-03-01T00:00:00,14827461,3290 Northcliff,,459900,,,,,,,,,,,
2026-03-01T00:00:00,54770934,558 Marble Arch,,1000000,,,,,,,,,,,
2026-03-01T00:00:00,58606207,1554 Hayden Mill,,395900,,,,,,,,,,,
2026-03-01T00:00:00,97999338,4465 Ambassador Way,,413200,,,,,,,,,,,
2026-04-01T00:00:00,14827461,3290 Northcliff,,460800,,,,,,,,,,,
2026-04-01T00:00:00,54770934,558 Marble Arch,,1000000,,,,,,,,,,,
2026-04-01T00:00:00,58606207,1554 Hayden Mill,,397500,,,,,,,,,,,
2026-05-24T04:24:32,54770934,My property,"558 Marble Arch Ave, San Jose, CA 95136",1063500,4271,1063500,3,4,1690,,TOWNHOUSE,460000,,37.281864,-121.85881
2026-05-24T04:38:38,54770934,My property,"558 Marble Arch Ave, San Jose, CA 95136",1063500,4271,1063500,3,4,1690,,TOWNHOUSE,460000,,37.281864,-121.85881
2026-05-24T04:43:18,54770934,My property,"558 Marble Arch Ave, San Jose, CA 95136",1063500,4271,1063500,3,4,1690,,TOWNHOUSE,460000,,37.281864,-121.85881
2026-05-24T04:49:16,54770934,My property,"558 Marble Arch Ave, San Jose, CA 95136",1063500,4271,1063500,3,4,1690,,TOWNHOUSE,460000,,37.281864,-121.85881
2026-05-24T04:49:37,97999338,Second property,"4465 Ambassador Way, Cumming, GA 30040",415000,2923,426000,6,3,3268,2007,SINGLE_FAMILY,426000,,34.26113,-84.09773
2026-05-24T04:50:57,54770934,My property,"558 Marble Arch Ave, San Jose, CA 95136",1063500,4271,1063500,3,4,1690,,TOWNHOUSE,460000,,37.281864,-121.85881
2026-05-24T04:50:59,97999338,Second property,"4465 Ambassador Way, Cumming, GA 30040",415000,2923,426000,6,3,3268,2007,SINGLE_FAMILY,426000,,34.26113,-84.09773
2026-05-24T04:54:18,54770934,My property,"558 Marble Arch Ave, San Jose, CA 95136",1063500,4271,1063500,3,4,1690,,TOWNHOUSE,460000,,37.281864,-121.85881
2026-05-24T04:54:20,97999338,Second property,"4465 Ambassador Way, Cumming, GA 30040",415000,2923,426000,6,3,3268,2007,SINGLE_FAMILY,426000,,34.26113,-84.09773
2026-05-24T04:54:46,58606207,Third property,"1554 Hayden Mill Way, Lawrenceville, GA 30043",397000,2292,397000,4,2,1872,2000,SINGLE_FAMILY,371500,,33.989902,-84.037735
2026-05-24T04:55:08,14827461,Fourth property,"3290 Northcliff Dr, Suwanee, GA 30024",462300,2603,445000,4,3,2368,1998,SINGLE_FAMILY,445000,,34.03028,-84.05571
